path	depth_threshold	coverage_threshold	median_length
accD/?/CDS/1	0.1	0.5	1476
atpA/?/CDS/1	0.1	0.25	1525
atpB/?/CDS/1	0.1	0.25	1496
atpE/?/CDS/1	0.1	0.25	402
atpF/?/CDS/1	0.1	0.25	145
atpF/?/CDS/2	0.1	0.25	410
atpF/?/intron/1	0.1	0.1	746
atpH/?/CDS/1	0.1	0.25	246
atpI/?/CDS/1	0.1	0.25	744
ccsA/?/CDS/1	0.05	0.125	966
cemA/?/CDS/1	0.1	0.25	690
chlB/?/CDS/1	0.1	0.25	1542
chlL/?/CDS/1	0.1	0.25	876
chlN/?/CDS/1	0.1	0.25	1402
clpP1/?/CDS/1	0.05	0.1	71
clpP1/?/CDS/2	0.05	0.1	292
clpP1/?/CDS/3	0.05	0.1	228
clpP1/?/intron/1	0.05	0.1	811
clpP1/?/intron/2	0.05	0.1	633
cysA/?/CDS/1	0.1	0.25	1130
cysT/?/CDS/1	0.1	0.25	867
infA/?/CDS/1	0.05	0.125	234
matK/?/CDS/1	0.05	0.125	1527
ndhA/?/CDS/1	0.1	0.25	553
ndhA/?/CDS/2	0.1	0.25	539
ndhA/?/intron/1	0.04	0.04	1072
ndhB/?/CDS/1	0.1	0.25	777
ndhB/?/CDS/2	0.1	0.25	756
ndhB/?/intron/1	0.1	0.1	683
ndhC/?/CDS/1	0.1	0.25	363
ndhD/?/CDS/1	0.1	0.25	1504
ndhE/?/CDS/1	0.1	0.25	306
ndhF/?/CDS/1	0.1	0.25	2232
ndhG/?/CDS/1	0.1	0.25	531
ndhH/?/CDS/1	0.1	0.25	1182
ndhI/?/CDS/1	0.1	0.25	504
ndhJ/?/CDS/1	0.1	0.25	477
ndhK/?/CDS/1	0.1	0.25	705
petA/?/CDS/1	0.1	0.25	963
petB/?/CDS/1	0.1	0.25	6
petB/?/CDS/2	0.1	0.25	642
petB/?/intron/1	0.025	0.05	781
petD/?/CDS/1	0.1	0.25	8
petD/?/CDS/2	0.1	0.25	475
petD/?/intron/1	0.1	0.1	738
petG/?/CDS/1	0.1	0.25	114
petL/?/CDS/1	0.05	0.125	96
petN/?/CDS/1	0.1	0.25	90
psaA/?/CDS/1	0.1	0.25	2253
psaB/?/CDS/1	0.1	0.25	2205
psaC/?/CDS/1	0.05	0.125	246
psaI/?/CDS/1	0.05	0.125	111
psaJ/?/CDS/1	0.1	0.25	135
psaM/?/CDS/1	0.1	0.25	93
psbA/?/CDS/1	0.1	0.25	1062
psbB/?/CDS/1	0.1	0.25	1526
psbC/?/CDS/1	0.1	0.25	1386
psbD/?/CDS/1	0.1	0.25	1062
psbE/?/CDS/1	0.1	0.25	252
psbF/?/CDS/1	0.1	0.25	120
psbH/?/CDS/1	0.1	0.25	222
psbI/?/CDS/1	0.1	0.25	111
psbJ/?/CDS/1	0.1	0.25	123
psbK/?/CDS/1	0.1	0.25	186
psbL/?/CDS/1	0.1	0.25	117
psbM/?/CDS/1	0.05	0.125	105
pbf1/?/CDS/1	0.1	0.25	132
psbT/?/CDS/1	0.1	0.25	108
psbZ/?/CDS/1	0.1	0.25	189
rbcL/?/CDS/1	0.1	0.25	1428
rpl2/?/CDS/1	0.05	0.125	391
rpl2/?/CDS/2	0.1	0.25	434
rpl2/?/intron/1	0.1	0.1	665
rpl14/?/CDS/1	0.1	0.25	369
rpl16/?/CDS/1	0.1	0.25	9
rpl16/?/CDS/2	0.1	0.25	399
rpl16/?/intron/1	0.05	0.1	1042
rpl20/?/CDS/1	0.1	0.25	360
rpl21/?/CDS/1	0.1	0.25	356
rpl22/?/CDS/1	0.05	0.125	456
rpl23/?/CDS/1	0.1	0.25	282
rpl32/?/CDS/1	0.1	0.25	168
rpl33/?/CDS/1	0.1	0.25	201
rpl36/?/CDS/1	0.1	0.25	114
rpoA/?/CDS/1	0.1	0.25	1014
rpoB/?/CDS/1	0.1	0.25	3215
rpoC1/?/CDS/1	0.1	0.25	432
rpoC1/?/CDS/2	0.1	0.25	1618
rpoC1/?/intron/1	0.1	0.1	757
rpoC2/?/CDS/1	0.1	0.25	4154
rps2/?/CDS/1	0.1	0.25	711
rps3/?/CDS/1	0.05	0.125	657
rps4/?/CDS/1	0.1	0.25	606
rps7/?/CDS/1	0.1	0.25	468
rps8/?/CDS/1	0.1	0.25	405
rps11/?/CDS/1	0.1	0.25	417
rps12A/?/CDS/1	0.1	0.25	114
rps12A/?/intron/1	0.1	0.1	650
rps12B/?/intron/1	0.1	0.1	900
rps12B/?/CDS/1	0.1	0.25	232
rps12B/?/CDS/2	0.1	0.2	26
rps12B/?/intron/2	0.1	0.1	536
rps14/?/CDS/1	0.1	0.25	303
rps15/?/CDS/1	0.05	0.5	273
rps16/?/CDS/1	0.1	0.25	40
rps16/?/CDS/2	0.1	0.25	227
rps16/?/intron/1	0.1	0.1	860
rps18/?/CDS/1	0.05	0.125	306
rps19/?/CDS/1	0.1	0.25	279
rrn4.5/?/rRNA/1	0.1	0.25	103
rrn5/?/rRNA/1	0.1	0.25	121
rrn16/?/rRNA/1	0.1	0.25	1491
rrn23/?/rRNA/1	0.1	0.25	2610
rrn23/?/intron/1	0.1	0.1	684
rrn23/?/rRNA/2	0.1	0.25	199
trnA-UGC/?/intron/1	0.1	0.1	808
trnA-UGC/?/tRNA/1	0.4	0.7	38
trnA-UGC/?/tRNA/2	0.4	0.7	35
trnC-GCA/?/tRNA/1	0.4	0.7	71
trnD-GUC/?/tRNA/1	0.4	0.7	74
trnE-UUC/?/tRNA/1	0.4	0.7	73
trnF-GAA/?/tRNA/1	0.4	0.7	73
trnfM-CAU/?/tRNA/1	0.4	0.7	74
trnG-GCC/?/tRNA/1	0.4	0.7	71
trnG-UCC/?/intron/1	0.1	0.1	698
trnG-UCC/?/tRNA/1	0.4	0.7	23
trnG-UCC/?/tRNA/2	0.4	0.7	48
trnH-GUG/?/tRNA/1	0.4	0.7	75
trnI-CAU/?/tRNA/1	0.4	0.7	74
trnI-GAU/?/intron/1	0.1	0.1	946
trnI-GAU/?/tRNA/1	0.4	0.7	37
trnI-GAU/?/tRNA/2	0.4	0.7	35
trnK-UUU/?/intron/1	0.1	0.1	2515
trnK-UUU/?/tRNA/1	0.4	0.7	37
trnK-UUU/?/tRNA/2	0.4	0.7	35
trnL-CAA/?/tRNA/1	0.4	0.7	81
trnL-UAA/?/intron/1	0.1	0.1	510
trnL-UAA/?/tRNA/1	0.4	0.7	35
